"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"AMERICAN","IPA",18.93,1.064,1.015,6.44,81.62,9.1,108,60,24,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.071,1.014,7.59,47.83,7.86,62,20,44,35,"Specific Gravity","extract"
"AMERICAN","IPA",213,1.08,1.022,7.53,67.94,8.56,92,80,47,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.058,1.016,5.48,76.72,7.66,93,60,25,66,"Specific Gravity","All Grain"
"SPECIALTY","IPA",37.85,1.098,1.023,9.77,89.11,11.49,130,60,79,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.06,1.011,6.38,62.96,5.2,83,60,31,70,"Specific Gravity","BIAB"
"IMPERIAL","STOUT",20.82,1.101,1.024,10.08,126.49,50,83,90,63,78,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.078,1.023,7.18,8.68,6.57,143,60,49,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",17.03,1.057,1.014,5.71,49.66,8.29,46,60,35,70,"Specific Gravity","BIAB"
"BLONDE","ALE",21,1.051,1.011,5.19,32.74,5.39,97,60,22,75,"Specific Gravity","All Grain"
"AMERICAN","STOUT",13.25,1.071,1.02,6.75,54.94,39.49,46,66,34,76,"Specific Gravity","All Grain"
"CZECH","PALE",100,13.5824,3.93087,5.2,0,6.1,12,120,125,90,"Plato","All Grain"
"AMERICAN","PALE",21,1.049,1.009,5.33,46.63,7.37,73,60,25,80,"Specific Gravity","All Grain"
"BLONDE","ALE",18.93,1.05,1.013,4.96,24.56,4.38,71,60,5,35,"Specific Gravity","extract"
"AMERICAN","PALE",20.82,1.062,1.012,6.58,61.28,6.5,83,90,33,75,"Specific Gravity","extract"
"AMERICAN","PORTER",20.82,1.108,1.024,10.96,143.61,50,95,75,63,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",15.14,1.067,1.014,7.31,86.63,12.8,7,60,72,30,"Specific Gravity","extract"
"AMERICAN","PALE",900,1.041,1.008,4.36,43.9,5.03,207,90,24,80,"Specific Gravity","All Grain"
"CREAM","ALE",14,1.048,1.009,5.13,19.06,3.24,50,60,19,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",18.93,1.072,1.018,7.07,76.57,6.49,95,60,32,60,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.068,1.011,7.42,69.8,4.34,78,90,39,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.046,1.009,4.94,55.7,7.37,62,60,27,35,"Specific Gravity","extract"
"DOUBLE","IPA",20.82,1.08,1.013,8.81,57.36,6.4,83,60,43,70,"Specific Gravity","All Grain"
"AMERICAN","STOUT",22.71,1.087,1.024,8.34,29.21,39.76,62,60,70,75,"Specific Gravity","BIAB"
