NOMBRE,NACIMIENTO,LUGAR_NACIMIENTO,ALTURA,PESO,POSICION,EQUIPO,MIN_JUGADOS,PART_JUGADOS,%_PART_JUGADOS,PART_COMPLETOS,%_PART_COMPL,PART_TITULAR,%_PART_TITU,PART_SUSTITUIDO,%PART_SUSTI,AMARILLA,ROJA,SEGUNDAMARILLA,GOLES,PENALRECIBIDO,GOLPROPIAPUERTA,GOL_ENCONTRA,URL,BLOQUEOS,INTERVENCIONES,RECUPERACIONES,DESPEJES,ENTRADAS,ENTRADASFALLIDOS,TUATU,DUELOEXITO,DUELOFALLIDO,DUEROAEREOEXITO,DUELOAEREOFALLIDO,TIROS,TIROSAPUERTA,ASISTENCIA,REGATES,REGATESFALLIDOS,GOLESDENTROAREA,GOLESFUERAAREA,GOLESIZDA,GOLESDCHA,GOLESPENAL,GOLCABEZA,GOLBALONPARADO,FUERAJUEGO,FALTARECIBIDA,FALTACOMETIDA,PENALCONTRA,MANOS,FALTAXTARJETA,CORNETS_LANZADOS,DUELOS,DUELOS_CUERPO_CUERPO,DUELOSAEREOS,PASES,PASES_CORTOS,PASES_LARGOS,PASES_HUECO,GOLESXTIRO,GOLESXFUERAAREA,GOLESDONTROAREA,GOLPARADO
Marco Asensio,21-01-1996,Palma de Mallorca,182 cm,76 kg,Centrocampista,Real Madrid,334,9,23.68,0,0.0,3,7.89,3,7.89,0,0,0,3,0,0,3,https://www.laliga.com/jugador/asensio,0,1,16,4,3,1,0,15,18,2,4,7,5,1,5,4,3,0,0.43,0.0,0,0.0,0,1,4,2,0,0,0.0,1,33,27,6,145,116,11,0,0.43,0.0,0.43,0.0
Marco Dmitrović,24-01-1992,Subotica,194 cm,94 kg,Portero,SD Eibar,3150,35,92.11,35,100.0,35,92.11,0,0.0,3,0,0,0,0,0,51,https://www.laliga.com/jugador/dmitrovic,0,3,331,37,2,1,1,17,3,12,0,1,1,0,1,0,0,0,0.0,0.0,0,0.0,0,0,1,1,0,0,0.33,0,20,8,12,971,114,283,0,0.0,0.0,0.0,0.0
Marcos Llorente,30-01-1995,Madrid,184 cm,74 kg,Centrocampista,Atlético de Madrid,1365,29,76.32,5,17.24,16,42.11,11,28.95,4,0,0,3,1,0,18,https://www.laliga.com/jugador/m-llorente,4,14,72,8,14,14,0,85,91,17,26,9,5,3,27,5,2,1,0.0,0.33,0,0.0,0,4,13,24,0,2,6.0,0,176,133,43,482,369,11,2,0.33,0.11,0.22,0.0
Mariano Díaz Mejía,01-08-1993,Barcelona,180 cm,76 kg,Delantero,Real Madrid,42,5,13.16,0,0.0,0,0.0,0,0.0,1,0,0,1,0,0,2,https://www.laliga.com/jugador/mariano,0,0,2,0,0,0,0,3,6,2,2,6,2,0,1,1,1,0,0.0,0.17,0,0.0,0,0,0,2,0,0,2.0,0,9,5,4,14,10,0,0,0.17,0.0,0.17,0.0
Mario Gaspar Pérez Martínez,24-11-1990,Novelda,182 cm,74 kg,Defensa,Villarreal CF,1962,25,65.79,20,80.0,22,57.89,2,5.26,2,0,0,0,0,0,28,https://www.laliga.com/jugador/mario-gaspar,10,26,70,61,20,15,0,91,103,42,45,9,1,2,4,7,0,0,0.0,0.0,0,0.0,0,0,11,34,0,2,17.0,0,194,107,87,864,620,28,0,0.0,0.0,0.0,0.0
Mario Hermoso Canseco,18-06-1995,Madrid,184 cm,75 kg,Defensa,Atlético de Madrid,1220,17,44.74,11,64.71,15,39.47,4,10.53,3,1,0,0,0,0,9,https://www.laliga.com/jugador/hermoso,5,12,72,59,8,7,0,57,54,26,29,2,2,0,7,0,0,0,0.0,0.0,0,0.0,0,2,9,18,0,0,6.0,0,111,56,55,625,438,58,0,0.0,0.0,0.0,0.0
Martín Aguirregabiria,10-05-1996,Vitoria,178 cm,69 kg,Defensa,Deportivo Alavés,2095,31,81.58,17,54.84,23,60.53,6,15.79,5,1,0,1,0,0,38,https://www.laliga.com/jugador/martin,7,18,125,39,30,25,0,117,104,26,28,2,1,1,17,12,1,0,0.5,0.0,0,0.0,0,1,19,33,1,5,6.6,1,221,167,54,752,481,25,1,0.5,0.0,0.5,0.0
Martin Braithwaite,05-06-1991,Esbjerg,177 cm,73 kg,Delantero,FC Barcelona,2337,35,92.11,18,51.43,25,65.79,7,18.42,4,0,0,7,0,0,35,https://www.laliga.com/jugador/braithwaite,2,5,66,9,9,6,0,151,179,56,82,44,26,2,43,19,6,1,0.07,0.09,0,0.0,0,10,38,38,0,3,9.5,0,330,192,138,487,336,8,0,0.16,0.02,0.14,0.0
Martin Ødegaard,17-12-1998,Drammen,178 cm,68 kg,Centrocampista,Real Madrid,2532,31,81.58,22,70.97,29,76.32,7,18.42,3,0,0,4,0,0,35,https://www.laliga.com/jugador/odegaard,0,17,157,3,18,8,0,136,152,10,25,36,16,6,63,41,2,2,0.11,0.0,0,0.0,1,0,37,24,0,4,8.0,83,288,253,35,1494,1210,56,19,0.11,0.06,0.06,0.03
Martin Valjent,11-12-1995,Dubnica nad Vahom,187 cm,70 kg,Defensa,RCD Mallorca,3184,36,94.74,33,91.67,36,94.74,3,7.89,6,0,0,0,0,0,59,https://www.laliga.com/jugador/valjent,27,37,145,138,17,8,0,95,83,55,48,14,2,0,6,4,0,0,0.0,0.0,0,0.0,0,1,9,19,0,2,3.17,0,178,75,103,1205,918,79,1,0.0,0.0,0.0,0.0
